status	seconds	page	total	suspect_md	pdf	page_txt
ok	4.02	40	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0040.txt
ok	4.12	41	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0041.txt
ok	4.14	42	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0042.txt
ok	2.79	43	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0043.txt
ok	1.02	44	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0044.txt
ok	1.21	45	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0045.txt
ok	1.86	46	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0046.txt
ok	3.99	47	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0047.txt
ok	4.01	48	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0048.txt
ok	4.12	49	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0049.txt
